,Year,State,State_Minimum_Wage
1095,2012,SD,7.25
1096,2012,TN,7.25
1097,2012,TX,7.25
1098,2012,UT,7.25
1099,2012,VA,7.25
1100,2012,WA,9.04
1101,2012,WI,7.25
1102,2012,WV,7.25
1103,2012,WY,5.15
1104,2013,AL,7.25
1105,2013,AR,6.25
1106,2013,AZ,7.8
1107,2013,CA,8.0
1108,2013,CO,7.78
1109,2013,CT,8.25
1110,2013,DE,7.25
1111,2013,FL,7.79
1112,2013,GA,5.15
1113,2013,HI,7.25
1114,2013,IA,7.25
1115,2013,ID,7.25
1116,2013,IL,8.25
1117,2013,IN,7.25
1118,2013,KS,7.25
1119,2013,KY,7.25
1120,2013,LA,7.25
1121,2013,MA,8.0
1122,2013,MD,7.25
1123,2013,ME,7.5
1124,2013,MI,7.4
1125,2013,MN,5.25
1126,2013,MO,7.35
1127,2013,MS,7.25
1128,2013,MT,4.0
1129,2013,NC,7.25
1130,2013,ND,7.25
1131,2013,NE,7.25
1132,2013,NH,7.25
1133,2013,NJ,7.25
1134,2013,NM,7.5
1135,2013,NV,7.25
1136,2013,NY,7.25
1137,2013,OH,7.85
1138,2013,OK,2.0
1139,2013,OR,8.95
